2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
294,San Mateo, California,"105,025","97,207",+8.04%,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo),"San Mateo  is a city in San Mateo County, California, approximately 20 miles  south of San Francisco, and 31 miles  northwest of San Jose. San Mateo had an estimated 2017 population of 104,748.","94401–94404, 94497"
295,Green Bay, Wisconsin,"104,879","104,057",+0.79%,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay),"Green Bay is a city in and the county seat of Brown County in the U.S. state of Wisconsin, at the head of Green Bay, a sub-basin of Lake Michigan, at the mouth of the Fox River. It is 581 feet  above sea level and 112 miles  north of Milwaukee. The population was 104,057 at the 2010 census. Green Bay is the third-largest city in the state of Wisconsin, after Milwaukee and Madison, and the third-largest city on Lake Michigan's west shore, after Chicago and Milwaukee. Green Bay is home to the National Football League's Green Bay Packers.","5430108, 54311, 54313, 54324, 54344"
296,Wichita Falls, Texas,"104,576","104,553",+0.02%,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls),"The city is home to the Newby-McMahon Building , constructed downtown in 1919 and featured in Robert Ripley's Ripley's Believe It or Not!.",7630111
297,Sparks, Nevada,"104,246","90,264",+15.49%,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks),Sparks is located within the Reno–Sparks metropolitan area.,89431–89437
298,Lakewood[ad], New Jersey,"104,157","92,843",+12.19%,24.7 sq mi,64.0 km2,"4,079/sq mi","1,575/km2",40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood),"Lakewood is a hub of Orthodox Judaism, and is home to one of the largest yeshivas in the world, the 6,500-student Beth Medrash Govoha, which was founded by Rabbi Aharon Kotler. The large Orthodox population, which comprises more than half the township's population, wields considerable political clout in the township as a voting bloc.",08701
299,Burbank, California,"103,695","103,340",+0.34%,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank),"Burbank is a city in Los Angeles County in the Los Angeles metropolitan area of Southern California, United States, 12 miles  northwest of downtown Los Angeles. The population at the 2010 census was 103,340.","91501–91508, 91510, 91521–91523, 91526"
300,Rialto, California,"103,440","99,171",+4.30%,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto),"Rialto is a city in San Bernardino County, California, United States. The population was 99,171 as of the 2010 Census.",92376–92377
301,Allen, Texas,"103,383","84,246",+22.72%,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen),"Allen is a city in Collin County, Texas, United States, a northern suburb of Dallas. As of the 2010 United States Census, the city had a total population of 84,246.","75002, 75013"
302,El Cajon, California,"103,241","99,478",+3.78%,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon),"El Cajon ) is a city in San Diego County, California, United States, 17 mi  east of Downtown San Diego. The city, located in a valley surrounded by mountains, has acquired the nickname of ""The Box."" Its name originated similarly, from the Spanish phrase ""el cajón,"" which means ""the box"" or ""the drawer.""","92019–92022, 92090"
303,Las Cruces, New Mexico,"102,926","97,618",+5.44%,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces),"Las Cruces is the economic and geographic center of the Mesilla Valley, the agricultural region on the floodplain of the Rio Grande which extends from Hatch to the west side of El Paso, Texas. Las Cruces is the home of New Mexico State University , New Mexico's only land-grant university. The city's major employer is the federal government on nearby White Sands Test Facility and White Sands Missile Range. The Organ Mountains, 10 miles  to the east, are dominant in the city's landscape, along with the Doña Ana Mountains, Robledo Mountains, and Picacho Peak. Las Cruces lies 225 miles  south of Albuquerque, 48 miles  northwest of El Paso, Texas and 46 miles  north of the Mexican border at Santa Teresa.",
304,Renton, Washington,"102,153","90,927",+12.35%,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton),"After a long history as an important salmon fishing area for Native Americans, Renton was first settled by people of European descent in the 1860s, and its early economy was based on coal mining, clay production, and timber export. Today, Renton is best known as the final assembly point for the Boeing 737 family of commercial airplanes, but it is also home to a growing number of well known manufacturing, technology, and healthcare organizations, including Boeing Commercial Airplanes Division, Paccar, Kaiser Permanente, IKEA, Providence Health & Services, and Wizards of the Coast. As of 2016, the population in Renton is 101,300, up from 90,927 at the 2010 census. Renton currently is the eighth-largest city in Washington and is the fourth largest in King County. The National Football League's Seattle Seahawks have a training facility in Renton, which is the second-largest facility in the NFL at 200,000 square feet .",98055–98059
305,Davenport, Iowa,"102,085","99,685",+2.41%,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport),"Davenport is the county seat of Scott County in Iowa and is located along the Mississippi River on the eastern border of the state. It is the largest of the Quad Cities, a metropolitan area with a population estimate of 382,630 and a CSA population of 474,226; it is the 90th largest CSA in the nation. Davenport was founded on May 14, 1836 by Antoine Le Claire and was named for his friend George Davenport, a former English sailor who served in the U.S. Army during the War of 1812, served as a supplier Fort Armstrong, worked as a fur trader with the American Fur Company, and was appointed a quartermaster with the rank of colonel during the Black Hawk War. According to the 2010 census, the city had a population of 99,685 .  The city appealed this figure, arguing that the Census Bureau missed a section of residents, and that its total population was more than 100,000. The Census Bureau estimated Davenport's 2018 population to be 102,085.",52801–52809
306,South Bend, Indiana,"101,860","101,168",+0.68%,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend),"South Bend is a city in and the county seat of St. Joseph County, Indiana, United States, on the St. Joseph River near its southernmost bend, from which it derives its name. As of the 2010 census, the city had a total of 101,168 residents; its Metropolitan Statistical Area had a population of 318,586 and Combined Statistical Area of 721,296.  It is the fourth-largest city in Indiana, serving as the economic and cultural hub of Northern Indiana. The highly ranked University of Notre Dame is located just to the north in unincorporated Notre Dame, Indiana and is an integral contributor to the region's economy.","46601, 46604, 46612–46617, 46619–46620, 46624, 46626, 46628–46629, 46634–46635, 46637, 46660, 46680, 46699"
307,Vista, California,"101,224","93,834",+7.88%,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista),"Vista  is a city in Southern California and is located in northwestern San Diego County. Vista is a medium-sized city within the San Diego-Carlsbad, CA Metropolitan Area and has a population of 101,659. Vista's sphere of influence also includes portions of unincorporated San Diego County to north and east, with a county island in the central west. Located just seven miles inland from the Pacific Ocean, it has a Mediterranean climate.","92081, 92083–92085"
308,Tuscaloosa, Alabama,"101,113","90,468",+11.77%,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa),"Incorporated as a town on December 13, 1819, it was named after Tuskaloosa, the chief of a band of Muskogean-speaking people. They battled and were defeated by forces of Spanish explorer Hernando de Soto in 1540 in the Battle of Mabila, thought to have been located in what is now central Alabama. Tuscaloosa served as Alabama's capital city from 1826 to 1846.","3540135407, 3548535487"
309,Clinton[ae], Michigan,"100,800","96,796",+4.14%,28.1 sq mi,72.8 km2,"3,573/sq mi","1,380/km2",42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton),There are two unincorporated communities in the township/CDP:,"48035, 48036, 48038"
310,Edison[ad], New Jersey,"100,693","99,967",+0.73%,30.1 sq mi,78.0 km2,"3,389/sq mi","1,309/km2",40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W﻿ / 40.5040; -74.3494﻿ (Edison),"Edison is a township in Middlesex County, New Jersey, United States, in the New York City metropolitan area. Situated in north-central New Jersey, Edison lies within the core of the Raritan Valley region. As of the 2010 United States Census, Edison had a total population of 99,967, retaining its position as the fifth-most populous municipality in New Jersey. The 2010 population reflected an increase of 2,280  from the 97,687 counted in the 2000 Census, which had in turn increased by 9,007  from the 88,680 counted in 1990. Edison's population has been above the 100,000 threshold since 2010, increasing by 2.5% to a Census-estimated 102,450 in 2017.","08817, 08818, 08820, 08837, 08899"
311,Woodbridge[ad], New Jersey,"100,450","99,585",+0.87%,23.3 sq mi,60.3 km2,"4,351/sq mi","1,680/km2",40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W﻿ / 40.5607; -74.2927﻿ (Woodbridge),"According to Joshua Coffin, the early settlers included ""Captain John Pike, the ancestor of General Zebulon Montgomery Pike, who was killed at the battle of Queenstown in 1813; Thomas Bloomfield, the ancestor of Joseph Bloomfield, some years governor of New Jersey, for whom the township of Bloomfield, New Jersey is named; John Bishop, senior and junior; Jonathan Haynes; Henry Jaques; George March; Stephen Kent; Abraham Toppan, junior; Elisha Ilsley; Hugh March; John Bloomfield; Samuel Moore; Nathaniel Webster; John Ilsley; and others."" Woodbridge was the site of the first gristmill in New Jersey. The mill was built by Jonathan Singletary Dunham .",07001  07064   07067  07077  07095  08830  08832  08840    08861  08863  
312,San Angelo, Texas,"100,215","93,200",+7.53%,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W﻿ / 31.4411; -100.4505﻿ (San Angelo),"San Angelo /sæn ˈændʒəloʊ/ is a city in and the county seat of Tom Green County, Texas, United States. Its location is in the Concho Valley, a region of West Texas between the Permian Basin to the northwest, Chihuahuan Desert to the southwest, Osage Plains to the northeast, and Central Texas to the southeast. According to a 2014 Census estimate, San Angelo has a total population of 100,450. It is the principal city and center of the San Angelo metropolitan area, which has a population of 118,182.",7690109
313,Kenosha, Wisconsin,"100,164","99,218",+0.95%,28.0 sq mi,72.5 km2,"3,577/sq mi","1,381/km2",42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W﻿ / 42.5822; -87.8456﻿ (Kenosha),"Kenosha /kɛˈnoʊˌʃɑː/ is a city in and the county seat of Kenosha County, Wisconsin, United States. Kenosha is on the southwestern shore of Lake Michigan. With an estimated population of 99,889 as of July 1, 2013, it is the fourth-largest city in Wisconsin and the fourth-largest city on Lake Michigan. The city is part of the United States Census Bureau's Chicago Combined Statistical Area .",53140–53144
